Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
European Equities14 May 2022All datapoints provided as of end of last active trading day."2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;123.00;124.00;122.20;122.80;"13/05/2022 16:25";CET;194651;23943617.60
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1.118;1.20;1.072;1.152;"13/05/2022 16:18";CET;1339474;1561730.35
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;141.00;141.00;141.00;141.00;"11/05/2022 09:29";CET;40;5640.00
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6.64;6.84;6.64;6.78;"13/05/2022 16:25";CET;277610;1874167.53
ADEVINTA;NO0010844038;ADE;"Oslo Børs";NOK;59.50;64.50;58.65;64.30;"13/05/2022 16:25";CET;926749;57737786.50
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;1.595;1.595;1.595;1.595;"13/05/2022 10:18";CET;4340;6922.30
AEGA;NO0010626559;AEGA;"Euronext Expand Oslo";NOK;1.10;1.17;1.10;1.17;"13/05/2022 15:46";CET;134772;155679.704
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;174.80;176.40;167.20;174.60;"13/05/2022 16:25";CET;58810;10161414.80
AGILYX;NO0010872468;AGLX;"Euronext Growth Oslo";NOK;28.00;30.15;27.65;29.70;"13/05/2022 16:25";CET;24833;718833.50
AINMT;NO0010734742;AINMT;"Euronext Expand Oslo";NOK;0.47;0.49;0.444;0.444;"13/05/2022 16:25";CET;128261;58817.068
AIRTHINGS;NO0010895568;AIRX;"Euronext Growth Oslo";NOK;4.955;5.40;4.955;5.34;"13/05/2022 16:25";CET;374194;1919981.505
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;8.50;8.57;8.26;8.29;"13/05/2022 16:25";CET;75191;634717.48
AKER;NO0010234552;AKER;"Oslo Børs";NOK;799.00;814.50;790.50;814.00;"13/05/2022 16:25";CET;96364;77434853.00
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;50.10;50.10;45.80;47.45;"13/05/2022 16:25";CET;37057;1759398.05
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;353.90;361.70;351.70;359.70;"13/05/2022 16:25";CET;670150;240532327.10
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;16.265;18.875;16.265;18.83;"13/05/2022 16:27";CET;1352162;24816326.53
"AKER CLEAN HYDROGE";NO0010936081;ACH;"Euronext Growth Oslo";NOK;4.20;4.60;4.20;4.546;"13/05/2022 16:25";CET;496215;2229057.08
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;18.365;19.96;18.20;19.90;"13/05/2022 16:29";CET;908910;17596374.775
"AKER OFFSHORE WIND";NO0010890312;AOW;"Euronext Growth Oslo";NOK;2.33;2.574;2.30;2.524;"13/05/2022 16:25";CET;2173755;5329095.17
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;29.26;30.94;29.12;30.80;"13/05/2022 16:25";CET;1208960;36568868.48
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;6.82;6.88;6.82;6.82;"13/05/2022 15:38";CET;5876;40260.80
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;84.00;85.80;83.20;85.80;"13/05/2022 15:33";CET;241;20458.80
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;25.00;25.00;25.00;25.00;"13/05/2022 14:48";CET;2100;52500.00
"AMERICAN SHIPPING";NO0010272065;AMSC;"Oslo Børs";NOK;33.75;34.45;33.10;33.60;"13/05/2022 16:29";CET;183439;6169579.25
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;42.50;42.90;41.90;42.90;"13/05/2022 16:25";CET;22171;943110.90
"AQUA BIO TECHNO";NO0010307135;ABT;"Euronext Expand Oslo";NOK;8.64;9.74;8.64;9.50;"13/05/2022 15:05";CET;20573;188675.83
"AQUALISBRAEMAR LOC";NO0010715394;AQUA;"Oslo Børs";NOK;13.35;13.95;13.35;13.75;"13/05/2022 15:23";CET;6143;84892.05
ARCHER;BMG0451H1170;ARCH;"Oslo Børs";NOK;3.48;3.65;3.255;3.595;"13/05/2022 16:26";CET;849385;2988422.94
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;14.45;15.00;14.45;15.00;"13/05/2022 16:05";CET;7435;109972.85
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;80.20;92.00;80.20;81.00;"13/05/2022 16:25";CET;2703;231868.20
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;68.10;71.35;68.10;70.50;"13/05/2022 16:25";CET;50337;3545192.70
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;325.50;337.00;325.50;337.00;"13/05/2022 16:25";CET;6994;2330565.00
ARGEO;NO0010946593;ARGEO;"Euronext Growth Oslo";NOK;4.74;4.90;4.64;4.76;"13/05/2022 15:49";CET;180309;863108.49
"ARRIBATEC GROUP";NO0003108102;ARR;"Oslo Børs";NOK;0.517;0.517;0.49;0.51;"13/05/2022 16:25";CET;1012309;508946.2835
ASETEK;DK0060477263;ASTK;"Oslo Børs";NOK;25.50;26.55;25.50;25.50;"13/05/2022 16:25";CET;21118;549881.80
ASTROCAST;CH1122548808;ASTRO;"Euronext Growth Oslo";NOK;6.52;6.52;5.50;6.02;"13/05/2022 16:09";CET;94501;533361.46
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;106.60;110.00;106.60;110.00;"13/05/2022 16:25";CET;53895;5875695.60
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo Børs";NOK;20.90;20.90;19.30;19.40;"13/05/2022 16:27";CET;534876;10576413.62
"AURORA EIENDOM";NO0011032310;AURA;"Euronext Growth Oslo";NOK;96.20;99.80;96.00;97.80;"13/05/2022 16:05";CET;7376;714643.60
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;200.00;202.00;200.00;202.00;"13/05/2022 11:44";CET;743;149800.00
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;138.50;138.50;124.70;128.00;"13/05/2022 16:25";CET;1103132;140441118.10
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;18.00;19.35;17.90;18.805;"13/05/2022 16:25";CET;6472930;121363658.925
"AVANCE GAS HOLDING";BMG067231032;AGAS;"Oslo Børs";NOK;39.56;41.20;39.56;41.20;"13/05/2022 16:25";CET;67480;2745101.44
"AWILCO DRILLING";GB00B5LJSC86;AWDR;"Oslo Børs";NOK;3.50;3.50;3.20;3.47;"13/05/2022 16:19";CET;67493;224062.66
"AWILCO LNG";NO0010607971;ALNG;"Euronext Expand Oslo";NOK;5.52;5.92;5.52;5.83;"13/05/2022 16:25";CET;730575;4242013.07
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;5.70;5.90;5.66;5.90;"13/05/2022 16:25";CET;175294;1011157.225
"AYFIE GROUP";NO0010793243;AYFIE;"Euronext Growth Oslo";NOK;0.712;0.796;0.712;0.796;"13/05/2022 16:12";CET;10000;7540.00
B2HOLDING;NO0010633951;B2H;"Oslo Børs";NOK;8.56;8.56;8.00;8.35;"13/05/2022 16:25";CET;1329673;10918420.86
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;599.00;599.00;579.50;591.50;"13/05/2022 16:25";CET;98864;58375186.00
"BALTIC SEA PROP";NO0010810476;BALT;"Euronext Growth Oslo";NOK;48.60;48.60;48.60;48.60;"28/04/2022 12:40";CET;219;10643.40
"BARRAMUNDI GROUP";SGXZ33675836;BARRA;"Euronext Growth Oslo";NOK;9.85;9.85;9.85;9.85;"10/05/2022 12:27";CET;16308;160633.80
BELSHIPS;NO0003094104;BELCO;"Oslo Børs";NOK;24.80;25.30;24.30;25.30;"13/05/2022 16:29";CET;1031110;25652387.05
"BERGEN CARBON SOL";NO0010950249;BCS;"Euronext Growth Oslo";NOK;38.95;38.95;34.20;34.75;"13/05/2022 16:25";CET;275656;9804039.70
BERGENBIO;NO0010650013;BGBIO;"Oslo Børs";NOK;14.78;15.67;14.78;15.32;"13/05/2022 16:25";CET;194142;2969695.25
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;64.30;70.00;64.30;66.90;"13/05/2022 16:25";CET;169740;11318880.60
"BIOFISH HOLDING";NO0010955198;BFISH;"Euronext Growth Oslo";NOK;13.10;13.10;13.10;13.10;"13/05/2022 15:50";CET;505;6615.50
"BLACK SEA PROPERTY";NO0010755101;BSP;"Euronext Growth Oslo";NOK;1.15;1.15;1.10;1.12;"12/05/2022 14:00";CET;75085;84917.25
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;345.00;361.50;341.00;361.50;"13/05/2022 16:25";CET;25456;9038113.00
BORGESTAD;NO0003111700;BOR;"Oslo Børs";NOK;2.06;2.08;2.04;2.04;"13/05/2022 15:48";CET;184324;377440.96
"BORR DRILLING";BMG1466R1732;BORR;"Oslo Børs";NOK;42.715;47.80;42.715;47.50;"13/05/2022 16:25";CET;2047718;94522453.05
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;183.00;183.00;180.00;182.00;"13/05/2022 16:25";CET;93820;17015083.40
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;62.60;62.70;62.10;62.50;"13/05/2022 16:25";CET;40433;2530630.00
BRABANK;NO0010167331;BRA;"Euronext Growth Oslo";NOK;11.20;11.20;10.90;10.90;"13/05/2022 15:53";CET;3588;39660.30
"BW ENERGY LIMITED";BMG0702P1086;BWE;"Oslo Børs";NOK;26.80;27.94;26.72;27.72;"13/05/2022 16:25";CET;348116;9623721.62
"BW Epic Kosan";SGXZ80461361;BWEK;"Euronext Growth Oslo";NOK;20.00;20.00;20.00;20.00;"13/05/2022 16:10";CET;260;5200.00
"BW IDEOL";NO0010947385;BWIDL;"Euronext Growth Oslo";NOK;17.00;18.20;16.55;18.20;"13/05/2022 16:07";CET;8241;143067.05
"BW LPG";BMG173841013;BWLPG;"Oslo Børs";NOK;61.50;63.85;60.45;63.40;"13/05/2022 16:25";CET;287364;18051660.30
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;27.40;27.86;26.78;27.84;"13/05/2022 16:25";CET;467580;12889273.66
BYGGMA;NO0003087603;BMA;"Oslo Børs";NOK;27.20;27.20;26.50;27.05;"13/05/2022 16:12";CET;6263;168276.60
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;30.90;30.90;29.50;30.08;"13/05/2022 16:25";CET;367739;11019372.44
CAMBI;NO0010078850;CAMBI;"Euronext Growth Oslo";NOK;5.41;5.46;5.41;5.43;"13/05/2022 14:42";CET;22615;122955.54
"CANOPY HOLDINGS";NO0010781560;CAN;"Euronext Growth Oslo";NOK;1.15;1.15;1.15;1.15;"13/05/2022 14:48";CET;20000;23000.00
CARASENT;NO0010123060;CARA;"Oslo Børs";NOK;18.68;20.15;18.30;20.15;"13/05/2022 16:25";CET;169535;3286769.59
"CARBON TRANSITION";NO0010778095;CARBN;"Euronext Expand Oslo";NOK;1.088;1.118;1.088;1.116;"13/05/2022 16:25";CET;176543;194562.754
"CIRCA GROUP";NO0010917594;CIRCA;"Euronext Growth Oslo";NOK;6.94;7.30;6.94;7.13;"13/05/2022 16:25";CET;31187;220974.36
"CLEAN SEAS SEAFOOD";AU000000CSS3;CSS;"Euronext Growth Oslo";NOK;3.95;3.95;3.95;3.95;"13/05/2022 09:00";CET;100;395.00
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;17.08;17.08;16.28;16.28;"13/05/2022 16:25";CET;134703;2207623.54
"CO2 CAPSOL";NO0010923121;CAPSL;"Euronext Growth Oslo";NOK;11.58;11.58;11.04;11.18;"13/05/2022 14:14";CET;7243;80577.68
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;7.50;8.10;7.50;8.00;"13/05/2022 15:46";CET;27390;212454.32
"COOL COMPANY";BMG2415A1137;COOL;"Euronext Growth Oslo";NOK;84.50;85.80;82.86;85.00;"13/05/2022 16:25";CET;98931;8342492.49
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;128.00;135.00;127.00;133.70;"13/05/2022 16:25";CET;246075;32638477.60
"CSAM HEALTH GROUP";NO0010894512;CSAM;"Euronext Growth Oslo";NOK;41.90;44.20;41.90;44.20;"13/05/2022 16:05";CET;9695;421601.50
CYVIZ;NO0010015175;CYVIZ;"Euronext Growth Oslo";NOK;36.50;36.50;35.00;36.10;"13/05/2022 16:16";CET;12331;445973.10
"DEEP VALUE DRILLER";NO0010955917;DVD;"Euronext Growth Oslo";NOK;13.80;13.80;12.85;13.50;"13/05/2022 16:25";CET;841675;11040184.30
"DESERT CONTROL";NO0010963275;DSRT;"Euronext Growth Oslo";NOK;28.75;28.75;27.50;28.20;"13/05/2022 16:25";CET;30449;854031.15
DLT;NO0003055808;DLTX;"Oslo Børs";NOK;5.70;5.85;5.40;5.76;"13/05/2022 16:25";CET;644254;3639855.97
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;183.55;185.15;181.45;185.15;"13/05/2022 16:25";CET;1144791;210453885.65
DNO;NO0003921009;DNO;"Oslo Børs";NOK;14.18;14.92;13.91;14.73;"13/05/2022 16:29";CET;6616004;96366885.82
DOF;NO0010070063;DOF;"Oslo Børs";NOK;2.12;2.44;1.994;2.41;"13/05/2022 16:29";CET;18234590;40218765.108
"EAM SOLAR";NO0010607781;EAM;"Euronext Expand Oslo";NOK;10.00;10.00;9.38;9.38;"13/05/2022 15:17";CET;4527;44151.26
"ECIT AS B-AKSJER";NO0010939804;ECIT;"Euronext Growth Oslo";NOK;6.40;6.58;6.12;6.50;"13/05/2022 16:25";CET;24779;157474.68
"ECOONLINE HOLDING";NO0010936891;ECO;"Euronext Growth Oslo";NOK;13.70;13.95;13.70;13.70;"13/05/2022 15:15";CET;5100;70979.80
"EDDA WIND";NO0010998529;EWIND;"Oslo Børs";NOK;27.05;27.45;26.15;27.15;"13/05/2022 16:25";CET;54666;1486275.25
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;9.48;10.20;9.20;9.50;"13/05/2022 16:25";CET;925231;8943300.82
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;1.66;1.746;1.532;1.668;"13/05/2022 16:25";CET;175691;291833.474
ELEKTROIMPORTØREN;NO0010911902;ELIMP;"Euronext Growth Oslo";NOK;66.60;69.60;65.20;65.20;"13/05/2022 16:25";CET;5320;356139.00
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;34.96;36.20;34.86;36.20;"13/05/2022 16:25";CET;1170605;41935543.36
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;17.60;18.94;17.48;18.50;"13/05/2022 16:25";CET;192229;3460922.26
"ELMERA GROUP";NO0010815673;ELMRA;"Oslo Børs";NOK;23.10;23.20;21.12;21.98;"13/05/2022 16:27";CET;2418997;52833177.32
ELOP;NO0010864036;ELOP;"Euronext Growth Oslo";NOK;2.10;2.35;2.10;2.34;"13/05/2022 16:03";CET;210701;487690.415
ELOPAK;NO0011002586;ELO;"Oslo Børs";NOK;15.26;15.52;15.08;15.20;"13/05/2022 16:25";CET;227978;3476043.36
ENDÚR;NO0010379779;ENDUR;"Oslo Børs";NOK;0.4445;0.559;0.4445;0.549;"13/05/2022 16:29";CET;18541485;9372978.4855
"ENSURGE MICROPOWER";NO0012450008;ENSU;"Oslo Børs";NOK;2.28;2.28;1.9502;2.277;"13/05/2022 16:19";CET;1146607;2400245.548
ENTRA;NO0010716418;ENTRA;"Oslo Børs";NOK;146.40;149.70;146.00;149.00;"13/05/2022 16:25";CET;90140;13369420.70
"ENVIPCO HOLDING";NL0015000GX8;ENVIP;"Euronext Growth Oslo";NOK;22.90;25.00;22.90;25.00;"13/05/2022 14:36";CET;471;11415.90
EQUINOR;NO0010096985;EQNR;"Oslo Børs";NOK;332.00;336.20;328.20;331.95;"13/05/2022 16:29";CET;3747666;1244438748.30
EUROPRIS;NO0010735343;EPR;"Oslo Børs";NOK;49.00;50.65;48.50;50.35;"13/05/2022 16:25";CET;360279;17944154.86
EVERFUEL;DK0061414711;EFUEL;"Euronext Growth Oslo";NOK;52.00;59.40;52.00;57.60;"13/05/2022 16:25";CET;17498;1000569.10
"EXACT THERAPEUTICS";NO0010852213;EXTX;"Euronext Growth Oslo";NOK;19.00;19.00;19.00;19.00;"12/05/2022 09:45";CET;15;285.00
"FLEX LNG";BMG359472021;FLNG;"Oslo Børs";NOK;257.00;263.40;253.00;259.00;"13/05/2022 16:27";CET;172559;44592109.80
FLYR;NO0010931900;FLYR;"Euronext Growth Oslo";NOK;1.225;1.277;1.225;1.255;"13/05/2022 16:29";CET;4581535;5719488.964
FRONTLINE;BMG3682E1921;FRO;"Oslo Børs";NOK;77.00;79.50;77.00;79.00;"13/05/2022 16:25";CET;688817;53857898.95
FRØY;NO0010936792;FROY;"Oslo Børs";NOK;45.10;45.90;44.00;44.90;"13/05/2022 16:25";CET;35267;1579244.20
"GAMING INNOVATION";US36467X2062;GIG;"Oslo Børs";NOK;15.50;16.48;15.50;16.20;"13/05/2022 16:25";CET;24110;387271.36
"GC RIEBER SHIPPING";NO0010262686;RISH;"Oslo Børs";NOK;13.40;13.50;11.00;12.30;"13/05/2022 16:25";CET;73740;887482.35
